-| Aici este salvata activitatea fiecarui admin. |-
 
 
-------------------------------------------------------------------------------------------------------------------------------
| 10:48:44 |- Harta: deathrun_trenal_lux|- TimeLeft: 23:29| deadpool [ STEAM_0:0:30403765 | 82.79.250.122 ] s-a conectat pe server.
-------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------
| 10:48:54 |- Harta: deathrun_trenal_lux|- TimeLeft: 23:20| deadpool [ STEAM_0:0:30403765 | 82.79.250.122 ] s-a deconectat de pe server.
-------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------
| 12:31:05 |- Harta: deathrun_stronghold_be- TimeLeft: 0:00| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] s-a conectat pe server.
-------------------------------------------------------------------------------------------------------------------------------
| 12:31:06 |- Harta: deathrun_stronghold_be- TimeLeft: 0:00| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
-------------------------------------------------------------------------------------------------------------------------------
| 12:32:22 |- Harta: deathrun_aztecan_beta1- TimeLeft: 24:55| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] s-a conectat pe server.
-------------------------------------------------------------------------------------------------------------------------------
| 12:33:49 |- Harta: deathrun_aztecan_beta1- TimeLeft: 23:52| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_map deathrun_temple' 
| 12:33:50 |- Harta: deathrun_aztecan_beta1- TimeLeft: 23:50| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:33:52 |- Harta: deathrun_aztecan_beta1- TimeLeft: 23:48| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_map deathrun_temple' 
-------------------------------------------------------------------------------------------------------------------------------
| 12:33:59 |- Harta: deathrun_temple|- TimeLeft: 24:55| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] s-a conectat pe server.
-------------------------------------------------------------------------------------------------------------------------------
| 12:34:00 |- Harta: deathrun_temple|- TimeLeft: 24:54| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:34:36 |- Harta: deathrun_temple|- TimeLeft: 24:41| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:34:54 |- Harta: deathrun_temple|- TimeLeft: 24:23| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:35:21 |- Harta: deathrun_temple|- TimeLeft: 23:56| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:36:10 |- Harta: deathrun_temple|- TimeLeft: 23:07| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:36:24 |- Harta: deathrun_temple|- TimeLeft: 22:54| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:36:36 |- Harta: deathrun_temple|- TimeLeft: 22:41| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:37:04 |- Harta: deathrun_temple|- TimeLeft: 22:13| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:37:15 |- Harta: deathrun_temple|- TimeLeft: 22:02| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:38:52 |- Harta: deathrun_temple|- TimeLeft: 20:25| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:39:07 |- Harta: deathrun_temple|- TimeLeft: 20:10| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:39:31 |- Harta: deathrun_temple|- TimeLeft: 19:46| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:39:46 |- Harta: deathrun_temple|- TimeLeft: 19:31| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:40:08 |- Harta: deathrun_temple|- TimeLeft: 19:09| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:40:31 |- Harta: deathrun_temple|- TimeLeft: 18:46| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:41:29 |- Harta: deathrun_temple|- TimeLeft: 17:48| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:41:39 |- Harta: deathrun_temple|- TimeLeft: 17:38| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:42:03 |- Harta: deathrun_temple|- TimeLeft: 17:14| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
| 12:42:20 |- Harta: deathrun_temple|- TimeLeft: 16:57| -rTg|maEsTrOo [ STEAM_0:1:154430568 | 89.123.123.41 ] 'amx_revive mae' 
