-| Aici este salvata activitatea fiecarui admin. |-
 
 
| 09:02:46 |- Harta: deathrun_minecraft_fin- TimeLeft: 21:30| LoV3 [ STEAM_0:0:137776089 | 109.102.38.10 ] 'amx_slay zale' 
| 10:14:41 |- Harta: deathrun_kolor_v2|- TimeLeft: 3:33| Bidi [ STEAM_0:1:45864800 | 93.118.222.211 ] 'amx_votemapmenu ' 
| 11:01:41 |- Harta: deathrun_wild|- TimeLeft: 10:42| Adyy [ STEAM_0:0:478703732 | 109.97.66.25 ] 'amx_slay stry' 
| 11:04:45 |- Harta: deathrun_wild|- TimeLeft: 7:37| Adyy [ STEAM_0:0:478703732 | 109.97.66.25 ] 'amx_gag stry' 
| 11:56:06 |- Harta: deathrun_av2009|- TimeLeft: 7:59| LoV3 [ STEAM_0:0:137776089 | 109.102.38.10 ] 'amx_slay @ct' 
| 13:57:28 |- Harta: deathrun_toony_beta1|- TimeLeft: 16:25| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick zale 4mape' 
| 14:04:13 |- Harta: deathrun_toony_beta1|- TimeLeft: 9:39| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap kingkong 99' 
| 14:04:37 |- Harta: deathrun_toony_beta1|- TimeLeft: 9:15| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap kingkong 99 ' 
| 14:06:18 |- Harta: deathrun_toony_beta1|- TimeLeft: 7:34| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick zale 4mape ' 
| 14:06:27 |- Harta: deathrun_toony_beta1|- TimeLeft: 7:25| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap kingkong 1' 
| 14:06:27 |- Harta: deathrun_toony_beta1|- TimeLeft: 7:25| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap kingkong 1 ' 
| 14:06:28 |- Harta: deathrun_toony_beta1|- TimeLeft: 7:24| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap kingkong 1 ' 
| 14:06:33 |- Harta: deathrun_toony_beta1|- TimeLeft: 7:20| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap kingkong 99' 
| 14:08:21 |- Harta: deathrun_toony_beta1|- TimeLeft: 5:31| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_votemapmenu ' 
| 14:08:32 |- Harta: deathrun_toony_beta1|- TimeLeft: 5:20| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_votemapmenu ' 
| 14:13:04 |- Harta: deathrun_toony_beta1|- TimeLeft: 0:48| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slay bog' 
| 14:22:32 |- Harta: deathrun_bhopz_v2|- TimeLeft: 17:28| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap osz' 
| 14:22:36 |- Harta: deathrun_bhopz_v2|- TimeLeft: 17:24| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s' 
| 14:24:30 |- Harta: deathrun_bhopz_v2|- TimeLeft: 15:30| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s ' 
| 14:25:40 |- Harta: deathrun_bhopz_v2|- TimeLeft: 14:20| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s ' 
| 14:26:14 |- Harta: deathrun_bhopz_v2|- TimeLeft: 13:46| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s ' 
| 14:26:43 |- Harta: deathrun_bhopz_v2|- TimeLeft: 13:18| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s ' 
| 14:26:43 |- Harta: deathrun_bhopz_v2|- TimeLeft: 13:17| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s ' 
| 14:26:43 |- Harta: deathrun_bhopz_v2|- TimeLeft: 13:17| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s ' 
| 14:26:44 |- Harta: deathrun_bhopz_v2|- TimeLeft: 13:17| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap 0s ' 
| 14:26:46 |- Harta: deathrun_bhopz_v2|- TimeLeft: 13:15| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap ' 
| 14:28:57 |- Harta: deathrun_bhopz_v2|- TimeLeft: 11:03| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_ban coco' 
| 14:29:02 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:59| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_chat ' 
| 14:29:04 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:56| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_chat cf' 
| 14:29:10 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:51| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_help ' 
| 14:29:22 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:38| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_csay cf' 
| 14:29:28 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:32| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_csay albastru cf' 
| 14:31:31 |- Harta: deathrun_bhopz_v2|- TimeLeft: 8:29| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_gag king' 
| 14:31:40 |- Harta: deathrun_bhopz_v2|- TimeLeft: 8:21| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_gag nevro' 
| 14:31:47 |- Harta: deathrun_bhopz_v2|- TimeLeft: 8:13| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_gag DR' 
| 14:31:50 |- Harta: deathrun_bhopz_v2|- TimeLeft: 8:11| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_gag fio' 
