-| Aici este salvata activitatea fiecarui admin. |-
 
 
| 09:02:16 |- Harta: deathrun_helvis|- TimeLeft: 4:18| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 09:15:45 |- Harta: deathrun_low_skill|- TimeLeft: 16:39| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'AMX_WHO ' 
| 09:15:47 |- Harta: deathrun_low_skill|- TimeLeft: 16:36| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_who ' 
| 09:27:43 |- Harta: deathrun_low_skill|- TimeLeft: 4:40| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 09:54:28 |- Harta: deathrun_pyramid|- TimeLeft: 4:10| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 10:54:10 |- Harta: deathrun_unreal|- TimeLeft: 0:00| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 11:15:35 |- Harta: deathrun_anca|- TimeLeft: 4:37| trickz- [ STEAM_0:0:343634833 | 109.166.139.4 ] 'AMX_VOTEMAPMENU ' 
| 11:15:41 |- Harta: deathrun_anca|- TimeLeft: 4:31| trickz- [ STEAM_0:0:343634833 | 109.166.139.4 ] 'amx_votemapmenu ' 
| 11:16:36 |- Harta: deathrun_anca|- TimeLeft: 3:36| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 11:18:51 |- Harta: deathrun_anca|- TimeLeft: 1:21| trickz- [ STEAM_0:0:343634833 | 109.166.139.4 ] 'amx_votemap ' 
| 11:18:52 |- Harta: deathrun_anca|- TimeLeft: 1:20| trickz- [ STEAM_0:0:343634833 | 109.166.139.4 ] 'amx_vote ' 
| 11:18:56 |- Harta: deathrun_anca|- TimeLeft: 1:16| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_voteban ' 
| 11:19:15 |- Harta: deathrun_anca|- TimeLeft: 0:58| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemap ' 
| 11:19:21 |- Harta: deathrun_anca|- TimeLeft: 0:51| trickz- [ STEAM_0:0:343634833 | 109.166.139.4 ] 'amx_votemap ' 
| 11:43:35 |- Harta: deathrun_fixxor|- TimeLeft: 4:02| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 14:01:45 |- Harta: deathrun_finland|- TimeLeft: 3:05| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 14:27:16 |- Harta: deathrun_flipfloodz|- TimeLeft: 4:37| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 15:40:21 |- Harta: deathrun_astro|- TimeLeft: 5:08| Sol [ STEAM_0:0:154268340 | 79.118.25.84 ] 'amx_clan zecemartie' 
| 15:41:31 |- Harta: deathrun_astro|- TimeLeft: 3:58| Sol [ STEAM_0:0:154268340 | 79.118.25.84 ] 'amx_votemap deathrun_aztecan_beta1 deathrun_stronghold_beta1 deathrun_trap_canyon' 
| 17:12:20 |- Harta: deathrun_latexx|- TimeLeft: 2:54| LoV3 [ STEAM_0:0:137776089 | 109.102.38.10 ] 'amx_votemapmenu ' 
| 18:58:11 |- Harta: deathrun_jinglebells|- TimeLeft: 17:10| KingKong [ STEAM_0:0:109183575 | 92.80.109.225 ] 'amx_kick azis' 
| 19:03:38 |- Harta: deathrun_jinglebells|- TimeLeft: 11:43| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_psay Azishabibi Dr.Lunetistii.Ro' 
| 19:13:32 |- Harta: deathrun_jinglebells|- TimeLeft: 1:49| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_votemapmenu ' 
| 19:17:06 |- Harta: deathrun_pyramid|- TimeLeft: 24:04| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_slay solo' 
| 19:22:58 |- Harta: deathrun_pyramid|- TimeLeft: 18:11| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_votemapmenu ' 
| 19:29:08 |- Harta: deathrun_pyramid|- TimeLeft: 12:02| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_votemapmenu ' 
