"nykS" "nykS" "259209104" "388790016" "295497792" "7" "89"
"TooHARD" "TooHARD" "255480944" "386224608" "294999168" "0" "0"
"dj smash" "dj smash" "255067680" "372446368" "297033888" "0" "0"
"NIDAL" "NIDAL" "252347584" "369354080" "297823264" "5" "89"
"Pyky" "Pyky" "250093184" "361751104" "294893632" "5" "80"
"GeantFusee" "GeantFusee" "250016464" "369795744" "299459136" "8" "87"
"wZoo" "wZoo" "248289408" "362908736" "291471008" "6" "88"
"Scooby" "Scooby" "245876288" "360279456" "292254688" "6" "90"
"LEXIQUE" "LEXIQUE" "244438048" "367169152" "280435232" "6" "100"
"sRT # Andrei" "sRT # Andrei" "244002528" "355388032" "290287328" "0" "0"
"leet" "leet" "243445488" "356941888" "291827168" "6" "98"
"FerRy" "FerRy" "243150416" "337335392" "298965440" "4" "86"
"tiganu" "tiganu" "243005792" "342565152" "299608896" "6" "77"
"Dark" "Dark" "242919232" "341049600" "299141120" "5" "76"
"rHuaN" "rHuaN" "242803232" "348005120" "298804320" "6" "72"
"fussiONNNNNN" "fussiONNNNNN" "242629552" "346068704" "298684640" "7" "80"
"Hi I'm Beto" "Hi I'm Beto" "242625248" "358746816" "286936960" "9" "98"
"deniS" "deniS" "242548192" "343927296" "297970816" "5" "73"
"OreD" "OreD" "242512912" "412608512" "299233312" "6" "76"
"Furōrin * (1)" "Furōrin * (1)" "242494608" "339553920" "297234720" "7" "81"
