"LoLz" "LoLz" "289862112" "411321376" "295551744" "9" "87"
"leet" "leet" "289674336" "418193088" "298105120" "7" "87"
"Capo di tutti capi" "Capo di tutti capi" "289475168" "386572384" "291958816" "9" "80"
"SaSuKee ;x # ! 1337" "SaSuKee ;x # ! 1337" "289408800" "393432512" "298832288" "9" "81"
"FoG" "FoG" "289176096" "403796608" "298544800" "0" "0"
"WaRRen.exe" "WaRRen.exe" "288885696" "412224608" "299524768" "0" "0"
"IrreguLar" "IrreguLar" "288526912" "414254528" "282407456" "10" "73"
"Puffy." "Puffy." "287664768" "423420064" "294440960" "7" "81"
"DarkWalkerz # Puffy." "DarkWalkerz # Puffy." "287143424" "429902272" "292347264" "7" "85"
"Urs" "Urs" "286950560" "416617952" "297875936" "9" "94"
"Mihai" "Mihai" "286055104" "438918144" "282388960" "6" "100"
"-rTg|maEsTrOo" "-rTg|maEsTrOo" "285005184" "415152192" "298504416" "8" "77"
"ursuletz ;o" "ursuletz ;o" "284736448" "417620512" "297993920" "10" "96"
"ReaD1nG #BEAST" "ReaD1nG #BEAST" "284662176" "388092576" "276115904" "7" "82"
"Bobo" "Bobo" "284512256" "401018784" "267247712" "9" "76"
"Alex." "Alex." "284422848" "407772128" "297608224" "8" "69"
"Testing" "Testing" "284067296" "389711424" "296309856" "10" "92"
"fanat_M9SA" "fanat_M9SA" "283802976" "381663168" "299992512" "8" "70"
"pLanSai" "pLanSai" "283755552" "390369824" "297598720" "7" "67"
"Panda" "Panda" "282929472" "384760480" "291063968" "9" "85"
