"tiganu" "tiganu" "271765344" "364581568" "297895136" "7" "68"
"CaPi" "CaPi" "267740720" "396351456" "273752128" "9" "82"
"flawless." "flawless." "266110144" "409806880" "271369152" "7" "85"
"wadafac!" "wadafac!" "263459168" "338865216" "295227168" "7" "20"
"EvolGeniuS - ThE king#" "EvolGeniuS - ThE king#" "263330384" "334917696" "295458144" "9" "53"
"Scooby69" "Scooby69" "262772608" "332991936" "298352320" "5" "66"
"TooHARD" "TooHARD" "261487216" "399508448" "287327424" "6" "100"
"-rTg|maEsTrOo" "-rTg|maEsTrOo" "261233552" "380897248" "295912928" "7" "79"
"leet" "leet" "260218208" "395410432" "291135648" "6" "95"
"MiB" "MiB" "259912176" "327537728" "294819488" "5" "52"
"william." "william." "259826880" "333096160" "289759680" "9" "72"
"CianLU" "CianLU" "259443904" "326731328" "291637504" "6" "52"
"Scooby1^ @like's that69" "Scooby1^ @like's that69" "259286800" "338182816" "295597824" "6" "75"
"ZALE" "ZALE" "257986816" "331521472" "280799392" "7" "78"
"crazi #" "crazi #" "255247920" "325050720" "293416992" "5" "50"
"Sol" "Sol" "252781248" "321325632" "297991104" "7" "30"
"spartanC3" "spartanC3" "252738880" "309091712" "292466080" "5" "55"
"bTz^" "bTz^" "251820976" "320653664" "284420320" "5" "61"
"wZoo" "wZoo" "250384672" "350069440" "297381760" "6" "76"
"HUNGRY" "HUNGRY" "249920960" "301915520" "296078048" "7" "31"
