"LoLz" "LoLz" "281701056" "389823008" "292995136" "8" "88"
"TooHARD" "TooHARD" "280286976" "395397216" "294832576" "8" "96"
"MiB" "MiB" "279556992" "412666432" "294249216" "8" "82"
"IrreguLar" "IrreguLar" "277513600" "375966400" "295754944" "8" "73"
"DoggyStyle" "DoggyStyle" "273226560" "386519136" "288133696" "7" "75"
"DoNpAkaa" "DoNpAkaa" "272637376" "391652640" "273209280" "12" "83"
"Scooby69" "Scooby69" "266564144" "350152992" "296295648" "6" "75"
"dex0n" "dex0n" "264977536" "364404800" "291237984" "9" "51"
"Urs" "Urs" "264429136" "357382624" "288912256" "6" "90"
"Mihai" "Mihai" "264207248" "375468704" "281255968" "6" "100"
"Vincent Law" "Vincent Law" "263731024" "339334752" "293990016" "9" "65"
"Bidi" "Bidi" "262940672" "366085920" "290231648" "7" "67"
"HUNGRY" "HUNGRY" "262035824" "326367520" "294882112" "8" "60"
"markeloff <3" "markeloff <3" "261750176" "361577600" "262386320" "9" "79"
"UFO.onsh" "UFO.onsh" "261711424" "345547680" "284556640" "5" "67"
"-rTg|maEsTrOo" "-rTg|maEsTrOo" "260522672" "341493472" "287408320" "8" "57"
"easy665hard" "easy665hard" "258942656" "322614784" "297626080" "7" "48"
"w1kkEd=D" "w1kkEd=D" "258652096" "351001472" "279786688" "8" "75"
"Joker$*" "Joker$*" "257997616" "346022112" "282194720" "6" "80"
"-Eq- George" "-Eq- George" "257925168" "315347104" "289750592" "6" "29"
