"nykS" "nykS" "186377120" "307778432" "174725936" "7" "71"
"LoLz" "LoLz" "180856880" "323888928" "182257280" "9" "80"
"OreD" "OreD" "177074736" "321672832" "191191360" "6" "82"
"wat i was" "wat i was" "175606512" "275974880" "172689712" "5" "88"
"Puffy." "Puffy." "174884784" "288058176" "198628032" "7" "64"
"Panda" "Panda" "174052752" "274041760" "199912928" "5" "87"
"dj smash" "dj smash" "174019984" "277316896" "188391024" "6" "89"
"CostiZEW" "CostiZEW" "173391136" "279611616" "197615440" "6" "77"
"toko" "toko" "172235072" "279892224" "197275952" "0" "0"
"TrusT^Me!" "TrusT^Me!" "172210208" "288081120" "196852464" "6" "78"
"dNk|sCaRy" "dNk|sCaRy" "171231824" "280264768" "199850000" "5" "87"
"GeantFusee" "GeantFusee" "170419808" "274227392" "196330464" "8" "86"
"~bfR~ c h e c k" "~bfR~ c h e c k" "170237440" "274020448" "190857776" "5" "48"
"t4telu" "t4telu" "169646736" "284979072" "187663536" "6" "80"
"IrreguLar" "IrreguLar" "169431856" "280066880" "192717392" "7" "84"
"pLanSai" "pLanSai" "169253536" "277683872" "191592592" "7" "60"
"Rippz." "Rippz." "167833616" "254831536" "199294432" "5" "91"
"tk!" "tk!" "167707184" "254860352" "197426512" "4" "89"
"axeljr" "axeljr" "167309376" "257356080" "199998720" "8" "94"
"DeVo" "DeVo" "166909296" "270722400" "199163936" "5" "67"
