"fetty potter" "fetty potter" "289996992" "409656928" "270981024" "9" "83"
"ReaD1nG # BEAST" "ReaD1nG # BEAST" "289942400" "428871392" "271894208" "7" "99"
"ReaD1nG #BEAST" "ReaD1nG #BEAST" "289885344" "415733184" "271017440" "8" "90"
"LoLz" "LoLz" "289687424" "434500960" "268077120" "11" "87"
"Hunger" "Hunger" "289651520" "444230496" "252307232" "9" "99"
"nykS <unlimited>" "nykS <unlimited>" "289612128" "413621408" "270754624" "6" "83"
"nykS" "nykS" "289558304" "444348256" "271976000" "8" "98"
"DarkWalkerz # Puffy." "DarkWalkerz # Puffy." "289491488" "430107776" "271141216" "10" "74"
"LEXIQUE" "LEXIQUE" "289271392" "408776704" "268720320" "7" "79"
"wkfgg" "wkfgg" "289241280" "435709152" "264741552" "10" "99"
"ThE FacTorY" "ThE FacTorY" "289179968" "434020640" "275728800" "8" "89"
"Carnita v40" "Carnita v40" "289079808" "435351424" "272548224" "10" "83"
"NIDAL" "NIDAL" "288864992" "423342880" "252182912" "5" "100"
"AirRfaNs" "AirRfaNs" "288791744" "427467232" "267369136" "12" "62"
"Too much changes!" "Too much changes!" "288311744" "407557856" "270081952" "9" "86"
"Bobo" "Bobo" "288253632" "419878752" "268682912" "8" "91"
"X0X0" "X0X0" "288230688" "412656480" "259731168" "7" "98"
"Big Daddy" "Big Daddy" "288125536" "397858304" "271846176" "8" "85"
"Don nykS" "Don nykS" "287496576" "397658912" "267195280" "7" "86"
"wat i was" "wat i was" "286426080" "398573920" "274976352" "7" "64"
