"IrreguLar" "IrreguLar" "281453344" "406892576" "295571392" "8" "74"
"NIDAL" "NIDAL" "267652928" "359948480" "253118720" "4" "89"
"zew. Atac ateu fara Dumnezeu" "zew. Atac ateu fara Dumnezeu" "266508848" "346904288" "285357440" "7" "89"
"d@rc@ # VANDALIZM" "d@rc@ # VANDALIZM" "260517632" "331417344" "294241216" "7" "72"
"S3mphis" "S3mphis" "259292752" "342153152" "266640448" "7" "61"
"Pyky" "Pyky" "258556032" "327602368" "291465920" "6" "69"
"faKeeN" "faKeeN" "256659184" "337217600" "294930240" "6" "64"
"d@rc@ # VANDALIZM`" "d@rc@ # VANDALIZM`" "253589488" "327511072" "280964288" "6" "78"
"Excentriq" "Excentriq" "251723952" "314753952" "277035424" "7" "52"
"7verde" "7verde" "246903808" "309560576" "266324032" "7" "80"
"Urs" "Urs" "244175120" "321278656" "263391760" "7" "73"
"wadafac!" "wadafac!" "240507264" "300873664" "271857984" "4" "64"
"zew" "zew" "234629200" "305217152" "257288848" "5" "46"
"OreD" "OreD" "232670816" "320315456" "280968064" "6" "29"
"maketacke" "maketacke" "229900976" "301205696" "257654976" "6" "70"
"LOVE ME BABY BABY" "LOVE ME BABY BABY" "225706192" "278727392" "244048816" "7" "74"
"Scooby69" "Scooby69" "219175904" "296089952" "260171728" "4" "76"
"fl0ppy" "fl0ppy" "217544128" "289520256" "244733696" "5" "73"
"Joker$*" "Joker$*" "214547984" "287701600" "223034528" "7" "85"
"ZALE" "ZALE" "210963088" "291996096" "274880256" "6" "67"
