"Sh0o7eR" "Sh0o7eR" "220343024" "353815680" "295059392" "6" "61"
"Pyky" "Pyky" "215883040" "332859712" "299724832" "5" "58"
"where.is.your.daddy?" "where.is.your.daddy?" "215171664" "334265632" "292605536" "6" "63"
"tiganu" "tiganu" "214174976" "333059968" "293330944" "6" "31"
"-Eq- George" "-Eq- George" "212467200" "317636704" "298395808" "6" "46"
"Joker$*" "Joker$*" "212107520" "333954208" "292090976" "6" "91"
"sTr1k3r" "sTr1k3r" "212036704" "387163264" "282814912" "9" "94"
"tk!" "tk!" "211777040" "327361088" "296877984" "3" "59"
"skIl[z]" "skIl[z]" "210679152" "339645504" "298942624" "5" "77"
"ZALE" "ZALE" "210388192" "326112224" "293961408" "5" "53"
"THIS IS SPARTA" "THIS IS SPARTA" "209486656" "321184768" "298167072" "4" "73"
"-rTg|maEsTrOo" "-rTg|maEsTrOo" "209434128" "333117568" "292018112" "6" "49"
"zew" "zew" "209273600" "321182688" "299276096" "5" "36"
"n00b !?" "n00b !?" "209146944" "315966848" "296424320" "6" "46"
"SWAGGIE. XD" "SWAGGIE. XD" "209146720" "329914624" "293692480" "5" "33"
"HUNGRY" "HUNGRY" "208436400" "321579840" "292092000" "6" "56"
"parry" "parry" "207240048" "327869248" "292330080" "6" "56"
"WoW" "WoW" "206794112" "331754400" "281156640" "4" "87"
"Urs" "Urs" "205950000" "343233824" "298980576" "3" "92"
"Bidi" "Bidi" "205770848" "322177696" "280819168" "6" "69"
