"ReaD1nG #BEAST" "ReaD1nG #BEAST" "255671744" "397285152" "283307392" "7" "91"
"leet" "leet" "252886896" "403489152" "289958336" "6" "89"
"-rTg|maEsTrOo" "-rTg|maEsTrOo" "249126336" "401766784" "293765152" "7" "79"
"DarkWalkerz # DoNpAkaa" "DarkWalkerz # DoNpAkaa" "247987072" "361462048" "295233664" "4" "62"
"Remus" "Remus" "246830736" "369503808" "298493664" "6" "82"
"SaSuKee ;x # ! 1337" "SaSuKee ;x # ! 1337" "245718224" "364756128" "285406848" "8" "81"
"pLanSai" "pLanSai" "241378000" "365734592" "273114272" "7" "83"
"Puffy." "Puffy." "240321568" "374779360" "290647232" "7" "76"
"easY" "easY" "239166160" "346250880" "298218464" "7" "88"
"HUNGRY" "HUNGRY" "239069184" "338429856" "297232480" "5" "64"
"Joker$*" "Joker$*" "238673952" "354891936" "299603296" "5" "86"
"Urs" "Urs" "238336128" "339346048" "296081632" "7" "59"
"Scooby69" "Scooby69" "237900624" "334006624" "299680928" "4" "56"
"TooHARD" "TooHARD" "237658448" "374549088" "291764480" "6" "94"
"MiB" "MiB" "237476048" "333844032" "295272128" "7" "72"
"Lou." "Lou." "236970816" "358744000" "294096512" "5" "65"
"q4x" "q4x" "236924112" "330917216" "293549184" "5" "66"
"knife" "knife" "236637520" "333358272" "292142688" "4" "89"
"Sol" "Sol" "236350320" "342127360" "293254464" "6" "69"
"ae." "ae." "236076384" "339736416" "299469632" "4" "85"
