"uFf" "uFf" "218440016" "341349248" "297807424" "7" "77"
"Bobo" "Bobo" "216889584" "333547200" "299043040" "5" "72"
"Bdi" "Bdi" "216197120" "345488704" "297730848" "7" "65"
"noxErR!" "noxErR!" "213182640" "331716288" "297685600" "6" "77"
"Aschente!" "Aschente!" "213155376" "343784704" "296261440" "3" "78"
"BEBY" "BEBY" "212310464" "346000032" "299917152" "4" "84"
"Timur.#IDHF" "Timur.#IDHF" "210815776" "328320160" "293052096" "7" "78"
"CaPi" "CaPi" "209356864" "348397952" "293250720" "3" "74"
"Dana" "Dana" "209345168" "329823936" "287680992" "5" "73"
"destroyers.GoDLike.#" "destroyers.GoDLike.#" "209133968" "341766944" "299411936" "2" "83"
"Bolt.<3" "Bolt.<3" "208506528" "312820864" "288629408" "6" "43"
"Hacked" "Hacked" "204684960" "299893184" "283890560" "2" "91"
"simply.-" "simply.-" "204238368" "328098432" "293690432" "5" "77"
"zale" "zale" "203571360" "323005152" "289884192" "5" "54"
"IonulikE. -.-" "IonulikE. -.-" "202822080" "319166368" "287976416" "3" "67"
"papabless+" "papabless+" "200921776" "297309184" "285209696" "5" "21"
"Asdfg" "Asdfg" "198990608" "312324256" "285668640" "2" "79"
"wKn" "wKn" "198772416" "298567808" "277003072" "4" "91"
"Joker$*" "Joker$*" "198615552" "297486272" "288797088" "1" "52"
"Tudii.<3 1337!" "Tudii.<3 1337!" "198501136" "327086624" "299232160" "2" "78"
