"uFf" "uFf" "235052720" "329100352" "296163424" "8" "56"
"Bdi" "Bdi" "232360400" "331372896" "290876704" "6" "73"
"Aschente!" "Aschente!" "231886512" "348899680" "299914528" "4" "87"
"CaPi ! # 1337" "CaPi ! # 1337" "229603264" "327033056" "297994528" "3" "95"
"Sol" "Sol" "229082368" "331341024" "290555520" "7" "73"
"White Knight" "White Knight" "228828496" "329013312" "293363200" "6" "74"
"Bolt.<3" "Bolt.<3" "228303520" "313323872" "294815168" "6" "39"
"MaresFermecatorul" "MaresFermecatorul" "224101280" "328243616" "286444960" "6" "65"
"Fortlessica." "Fortlessica." "222481904" "327831680" "284595904" "7" "72"
"CaPi" "CaPi" "222289456" "326409216" "289373312" "2" "64"
"MiB" "MiB" "220955040" "300895776" "281596576" "6" "42"
"simply.-" "simply.-" "213915840" "295976672" "284715008" "4" "35"
"kingu" "kingu" "213892480" "316377920" "284439072" "4" "45"
"Cookie" "Cookie" "213172544" "304488960" "268352624" "2" "93"
"NeO-" "NeO-" "213096192" "291617280" "291617280" "1" "0"
"PrajituraXXX" "PrajituraXXX" "212303824" "306597888" "279742848" "5" "46"
".ryder." ".ryder." "204074656" "303441024" "255288848" "6" "74"
"TiGaNu" "TiGaNu" "201841120" "319914912" "296895520" "3" "50"
"ZALE" "ZALE" "200185328" "316474016" "282113568" "5" "86"
"leu25" "leu25" "199871520" "321748544" "287233024" "1" "63"
