*Aici este salvata activitatea suspecta a fiecarui jucator.


L  17:17:45 |deathrun_forest| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:43:06 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "Andrei^fUnCraZy^" [ VALVE_0:4:2061032434 | 92.85.237.92 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:54:08 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "Valkyrie" [ VALVE_0:4:1442758762 | 109.98.161.2 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:01:17 |deathrun_death| *ROM-Protect : L-am detectat pe "Andrei^fUnCraZy^" [ VALVE_0:4:2061032434 | 92.85.237.92 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:17:12 |deathrun_death| *ROM-Protect : L-am detectat pe "Andrei^fUnCraZy^" [ VALVE_0:4:2061032434 | 92.85.237.92 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:06:21 |deathrun_pirates| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1536347767 | 86.126.121.30 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:06:55 |deathrun_pirates| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1536347767 | 86.126.121.30 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:06:55 |deathrun_pirates| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1536347767 | 86.126.121.30 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:06:58 |deathrun_pirates| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1536347767 | 86.126.121.30 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:45:25 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:45:33 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:45:59 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:00 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:00 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:01 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:03 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:03 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:18 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:19 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:20 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:46:44 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:49:35 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:49:38 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ola_bola" [ VALVE_0:4:1738614912 | 185.179.30.102 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
