*Aici este salvata activitatea suspecta a fiecarui jucator.


L  00:24:50 |deathrun_aztecan_beta1| *ROM-Protect : L-am detectat pe "fl0ppy" [ VALVE_0:4:622841591 | 86.127.99.227 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:58:10 |deathrun_forest| *ROM-Protect : L-am detectat pe "Cuppy" [ VALVE_0:4:2138705867 | 46.253.168.87 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:58:12 |deathrun_forest| *ROM-Protect : L-am detectat pe "Cuppy" [ VALVE_0:4:2138705867 | 46.253.168.87 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:58:16 |deathrun_forest| *ROM-Protect : L-am detectat pe "Cuppy" [ VALVE_0:4:2138705867 | 46.253.168.87 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:21:50 |deathrun_sentinel_mini| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:1550601975 | 86.127.132.17 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
L  16:34:10 |deathrun_4rooms_fg| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:1550601975 | 86.127.132.17 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:34:12 |deathrun_4rooms_fg| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:1550601975 | 86.127.132.17 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:34:52 |deathrun_4rooms_fg| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:1550601975 | 86.127.132.17 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:35:48 |deathrun_4rooms_fg| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:1550601975 | 86.127.132.17 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:36:49 |deathrun_4rooms_fg| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:1550601975 | 86.127.132.17 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:09:59 |deathrun_hertz| *ROM-Protect : L-am detectat pe "DoggyStyle" [ VALVE_0:4:227102832 | 88.66.78.178 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
