*Aici este salvata activitatea suspecta a fiecarui jucator.


L  09:58:51 |deathrun_hell1337_final| *ROM-Protect : L-am detectat pe "LOGITECH." [ VALVE_0:4:1312047466 | 109.96.52.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:15:22 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:15:22 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:19:19 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:19:19 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:19:22 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:24:04 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:24:05 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:25:02 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:25:03 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:26:47 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
