*Aici este salvata activitatea suspecta a fiecarui jucator.


L  02:16:36 |deathrun_army_blue_beta1| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:2132168311 | 86.126.112.87 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:08:18 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:08:20 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:10:07 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:10:12 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:12:45 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:15:03 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:15:09 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:15:55 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:16:47 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:19:56 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:20:30 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:21:12 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:21:43 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:26:34 |deathrun_adelina| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
