*Aici este salvata activitatea suspecta a fiecarui jucator.


L  17:33:26 |deathrun_tomb_beta1| *ROM-Protect : L-am detectat pe "Ireal" [ STEAM_0:0:952522051 | 89.39.125.253 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:01:51 |deathrun_0mega| *ROM-Protect : L-am detectat pe "v1p3r" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:02:18 |deathrun_0mega| *ROM-Protect : L-am detectat pe "v1p3r" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:02:19 |deathrun_0mega| *ROM-Protect : L-am detectat pe "v1p3r" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:02:20 |deathrun_0mega| *ROM-Protect : L-am detectat pe "v1p3r" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:04:27 |deathrun_0mega| *ROM-Protect : L-am detectat pe "v1p3r" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:07:04 |deathrun_0mega| *ROM-Protect : L-am detectat pe "LEGENDZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:07:05 |deathrun_0mega| *ROM-Protect : L-am detectat pe "LEGENDZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:16:59 |deathrun_0mega| *ROM-Protect : L-am detectat pe "LEGENDZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:17:39 |deathrun_finland| *ROM-Protect : L-am detectat pe "LEGENDZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:17:41 |deathrun_finland| *ROM-Protect : L-am detectat pe "LEGENDZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
