*Aici este salvata activitatea suspecta a fiecarui jucator.


L  20:21:14 |deathrun_discovery3| *ROM-Protect : L-am detectat pe "L.R.HaTe" [ VALVE_0:4:1086311543 | 86.122.35.40 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:39:00 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "AppLe." [ VALVE_0:4:2028882682 | 77.119.128.88 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:37:20 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:37:54 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:38:34 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:38:36 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:39:28 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:39:44 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:39:46 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:39:50 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:40:13 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:40:36 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:17 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:19 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:36 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:43 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:45 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:48 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:59 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:47:00 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:47:07 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:47:08 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:54:03 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:54:04 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:55:50 |deathrun_privateers| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1314835575 | 86.122.225.53 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
