*Aici este salvata activitatea suspecta a fiecarui jucator.


L  11:24:46 |deathrun_c00l_f| *ROM-Protect : L-am detectat pe "cFg|Thrasher" [ VALVE_0:4:1109380855 | 86.127.99.45 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:58:37 |deathrun_death_hard| *ROM-Protect : L-am detectat pe "xdr." [ VALVE_0:4:880146014 | 5.14.183.193 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:56:23 |deathrun_wild| *ROM-Protect : L-am detectat pe "Scooby69" [ VALVE_0:4:2076099306 | 109.103.33.94 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:11:59 |deathrun_rizzy_x| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:327860714 | 109.97.73.142 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:35:27 |deathrun_rizzy_x| *ROM-Protect : L-am detectat pe "Valentina # I love you Valy" [ VALVE_0:4:327860714 | 109.97.73.142 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:57:27 |deathrun_toony_beta1| *ROM-Protect : L-am detectat pe "Scooby69" [ VALVE_0:4:2076099306 | 109.103.33.94 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:57:37 |deathrun_toony_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:1160117634 | 188.25.23.35 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:55:34 |deathrun_psihocube| *ROM-Protect : L-am detectat pe "MarioClv" [ VALVE_0:4:355236994 | 188.27.4.131 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:05:43 |deathrun_forest| *ROM-Protect : L-am detectat pe "MarioClv" [ VALVE_0:4:355236994 | 188.27.4.131 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:05:44 |deathrun_forest| *ROM-Protect : L-am detectat pe "MarioClv" [ VALVE_0:4:355236994 | 188.27.4.131 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:10:55 |deathrun_forest| *ROM-Protect : L-am detectat pe "MarioClv" [ VALVE_0:4:355236994 | 188.27.4.131 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:10:55 |deathrun_forest| *ROM-Protect : L-am detectat pe "MarioClv" [ VALVE_0:4:355236994 | 188.27.4.131 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:10:56 |deathrun_forest| *ROM-Protect : L-am detectat pe "MarioClv" [ VALVE_0:4:355236994 | 188.27.4.131 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:19:23 |deathrun_forest| *ROM-Protect : L-am detectat pe "MarioClv" [ VALVE_0:4:355236994 | 188.27.4.131 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:13:49 |deathrun_mici_f| *ROM-Protect : L-am detectat pe "Est4k" [ VALVE_0:4:1352210818 | 188.209.110.8 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:19:16 |deathrun_mici_f| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:327860714 | 109.97.73.142 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:59:35 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:327860714 | 109.97.73.142 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:11:32 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:327860714 | 109.97.73.142 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:28:09 |deathrun_anca| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:327860714 | 109.97.73.142 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
