*Aici este salvata activitatea suspecta a fiecarui jucator.


L  03:10:42 |deathrun_lies_f| *ROM-Protect : L-am detectat pe "~bfR~ c h e c k" [ VALVE_0:4:2095784554 | 109.166.138.80 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:53:41 |deathrun_3sixty_fg_fix2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:54:15 |deathrun_3sixty_fg_fix2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:03:04 |deathrun_3sixty_fg_fix2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:03:30 |deathrun_3sixty_fg_fix2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:14:12 |deathrun_fixxor| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:15:00 |deathrun_fixxor| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:15:37 |deathrun_fixxor| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:16:02 |deathrun_fixxor| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:12:20 |deathrun_expres-game| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:12:26 |deathrun_expres-game| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:1872711287 | 86.126.98.118 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:05:37 |deathrun_cityhotel_v2| *ROM-Protect : L-am detectat pe "zew. Atac ateu fara Dumnezeu" [ VALVE_0:4:1394133115 | 79.114.109.15 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:06:32 |deathrun_cityhotel_v2| *ROM-Protect : L-am detectat pe "zew. Atac ateu fara Dumnezeu" [ VALVE_0:4:1394133115 | 79.114.109.15 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:06:34 |deathrun_cityhotel_v2| *ROM-Protect : L-am detectat pe "zew. Atac ateu fara Dumnezeu" [ VALVE_0:4:1394133115 | 79.114.109.15 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:06:35 |deathrun_cityhotel_v2| *ROM-Protect : L-am detectat pe "zew. Atac ateu fara Dumnezeu" [ VALVE_0:4:1394133115 | 79.114.109.15 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
