*Aici este salvata activitatea suspecta a fiecarui jucator.


L  02:49:33 |deathrun_purplez| *ROM-Protect : L-am detectat pe "Low" [ VALVE_0:4:1269717362 | 92.80.0.62 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:39:54 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:39:54 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:44:51 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:44:52 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:45:00 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:46:09 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:46:15 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:46:47 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:46:48 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:46:49 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:46:52 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:46:56 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:05 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:05 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:30 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:36 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:37 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:51 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:51 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:48:37 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:48:43 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:49:30 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:50:35 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:50:36 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:50:36 |deathrun_y_underground| *ROM-Protect : L-am detectat pe "sweetKZ # KlaNdEsTiN" [ VALVE_0:4:1886935538 | 92.81.172.73 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:35:57 |deathrun_unknown-area| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:20:25 |deathrun_av2009_recolored-ez| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:20:25 |deathrun_av2009_recolored-ez| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
