*Aici este salvata activitatea suspecta a fiecarui jucator.


L  09:45:27 |deathrun_atacama_beta2| *ROM-Protect : L-am detectat pe "Home." [ STEAM_0:0:67562713 | 79.117.236.159 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
L  14:32:56 |deathrun_green_h2_final| *ROM-Protect : L-am detectat pe "0sZ" [ STEAM_0:0:808306511 | 95.76.2.140 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:34:04 |deathrun_green_h2_final| *ROM-Protect : L-am detectat pe "0sZ" [ STEAM_0:0:808306511 | 95.76.2.140 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:38:41 |deathrun_green_h2_final| *ROM-Protect : L-am detectat pe "0sZ" [ STEAM_0:0:808306511 | 95.76.2.140 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:40:49 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "vita sine libris mors est" [ STEAM_0:0:144457027 | 85.186.123.130 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
L  17:53:17 |deathrun_sentinel| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:760500087 | 86.124.244.243 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:32:06 |deathrun_surf| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:760500087 | 86.124.244.243 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:36:34 |deathrun_surf| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:760500087 | 86.124.244.243 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:39:22 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:39:26 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:39:29 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:39:33 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:39:36 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:39:46 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:40:22 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:40:25 |deathrun_laikiux6| *ROM-Protect : L-am detectat pe "L3m0n -@doubleduck;" [ VALVE_0:4:1507949570 | 188.26.158.26 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
