*Aici este salvata activitatea suspecta a fiecarui jucator.


L  09:48:52 |deathrun_bhopz| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:115657975 | 86.123.149.164 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:40:21 |deathrun_helvis| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:39:53 |deathrun_big_tower| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:47:15 |deathrun_big_tower| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:48:06 |deathrun_big_tower| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:56:12 |deathrun_big_tower| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:56:20 |deathrun_big_tower| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  11:56:23 |deathrun_big_tower| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:08:40 |deathrun_gb_winter_final4| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:40:44 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:43:21 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:43:43 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:43:44 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:00:23 |deathrun_unreal| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:46:52 |deathrun_queen| *ROM-Protect : L-am detectat pe "Rippz." [ VALVE_0:4:501498090 | 109.99.148.146 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:55:46 |deathrun_hertz| *ROM-Protect : L-am detectat pe "NVIDIA E6 Player" [ VALVE_0:4:1180582267 | 78.96.224.37 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:55:48 |deathrun_hertz| *ROM-Protect : L-am detectat pe "NVIDIA E6 Player" [ VALVE_0:4:1180582267 | 78.96.224.37 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:55:50 |deathrun_hertz| *ROM-Protect : L-am detectat pe "NVIDIA E6 Player" [ VALVE_0:4:1180582267 | 78.96.224.37 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:01:13 |deathrun_hertz| *ROM-Protect : L-am detectat pe "NVIDIA E6 Player" [ VALVE_0:4:1180582267 | 78.96.224.37 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:01:14 |deathrun_hertz| *ROM-Protect : L-am detectat pe "NVIDIA E6 Player" [ VALVE_0:4:1180582267 | 78.96.224.37 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:16:11 |deathrun_tomb_beta1| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:44:10 |deathrun_toony_beta1| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:24:46 |deathrun_christmas| *ROM-Protect : L-am detectat pe "^^turbaNNN^^" [ VALVE_0:4:298338930 | 93.118.204.138 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:32:51 |deathrun_christmas| *ROM-Protect : L-am detectat pe "C0L4 .bwc. ! 1337" [ VALVE_0:4:989455088 | 89.39.175.220 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:02:10 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:07:30 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "Sparanghel" [ VALVE_0:4:1863929463 | 86.126.110.119 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:08:30 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "Sparanghel" [ VALVE_0:4:1863929463 | 86.126.110.119 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:11:22 |deathrun_minecraft_final| *ROM-Protect : L-am detectat pe "-oMg|Sonor" [ VALVE_0:4:1826736763 | 79.118.159.112 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
