*Aici este salvata activitatea suspecta a fiecarui jucator.


L  11:04:26 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "MVP # blackbullet :D" [ VALVE_0:4:2079357954 | 188.26.188.94 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:43:40 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "duuck; /notAfraid/" [ STEAM_0:0:92690575 | 46.108.113.210 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
L  16:05:29 |deathrun_demolish| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:50:51 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:50:57 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:53:02 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:53:09 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:55:18 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:55:25 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:58:23 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:58:36 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
