*Aici este salvata activitatea suspecta a fiecarui jucator.


L  10:23:18 |deathrun_silence| *ROM-Protect : L-am detectat pe "CatalinHD" [ VALVE_0:4:1263890526 | 5.2.246.63 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:11:57 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "mYeLu" [ VALVE_0:4:1499289970 | 92.80.230.27 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:11:58 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "mYeLu" [ VALVE_0:4:1499289970 | 92.80.230.27 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:12:29 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "mYeLu" [ VALVE_0:4:1499289970 | 92.80.230.27 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:14:44 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "mYeLu" [ VALVE_0:4:1499289970 | 92.80.230.27 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:15:53 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "mYeLu" [ VALVE_0:4:1499289970 | 92.80.230.27 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:40:55 |deathrun_midr_csbr| *ROM-Protect : L-am detectat pe "OneCumTwoKids" [ VALVE_0:4:858092499 | 31.5.22.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:40:55 |deathrun_midr_csbr| *ROM-Protect : L-am detectat pe "OneCumTwoKids" [ VALVE_0:4:858092499 | 31.5.22.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:40:03 |deathrun_expres-game| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:41:48 |deathrun_expres-game| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:06:13 |deathrun_evolution| *ROM-Protect : L-am detectat pe "Rippz." [ VALVE_0:4:501498090 | 109.99.148.146 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:14:21 |deathrun_evolution| *ROM-Protect : L-am detectat pe "Rippz." [ VALVE_0:4:501498090 | 109.99.148.146 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:42:12 |deathrun_winterfg_lux| *ROM-Protect : L-am detectat pe "Rippz." [ VALVE_0:4:501498090 | 109.99.148.146 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:42:12 |deathrun_winterfg_lux| *ROM-Protect : L-am detectat pe "Rippz." [ VALVE_0:4:501498090 | 109.99.148.146 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
