*Aici este salvata activitatea suspecta a fiecarui jucator.


L  02:37:43 |deathrun_hard_cspgames2| *ROM-Protect : L-am detectat pe "TITANy | check" [ VALVE_0:4:80304370 | 92.83.206.160 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  02:38:06 |deathrun_hard_cspgames2| *ROM-Protect : L-am detectat pe "TITANy | check" [ VALVE_0:4:80304370 | 92.83.206.160 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  02:38:06 |deathrun_hard_cspgames2| *ROM-Protect : L-am detectat pe "TITANy | check" [ VALVE_0:4:80304370 | 92.83.206.160 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:36:03 |deathrun_helvis| *ROM-Protect : L-am detectat pe "Danza.!" [ VALVE_0:4:392217719 | 86.106.157.135 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:45:52 |deathrun_laikiux9| *ROM-Protect : L-am detectat pe "LEGENDZ # dex0n" [ VALVE_0:4:537931242 | 109.185.124.233 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:47:39 |deathrun_laikiux9| *ROM-Protect : L-am detectat pe "LEGENDZ # dex0n" [ VALVE_0:4:537931242 | 109.185.124.233 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:51:54 |deathrun_laikiux9| *ROM-Protect : L-am detectat pe "Petri one" [ VALVE_0:4:685759474 | 92.85.227.248 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:51:54 |deathrun_laikiux9| *ROM-Protect : L-am detectat pe "Petri one" [ VALVE_0:4:685759474 | 92.85.227.248 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:51:07 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "kNIFE." [ VALVE_0:4:141250032 | 89.121.138.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:05:44 |deathrun_laikiux_pizdec| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:05:50 |deathrun_laikiux_pizdec| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:42:24 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ColKa" [ VALVE_0:4:1590989684 | 81.196.245.20 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:43:07 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ColKa" [ VALVE_0:4:1590989684 | 81.196.245.20 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:44:12 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "ColKa" [ VALVE_0:4:1590989684 | 81.196.245.20 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
