*Aici este salvata activitatea suspecta a fiecarui jucator.


L  15:57:08 |deathrun_trap_canyon| *ROM-Protect : L-am detectat pe "NVIDIA E6 Player" [ VALVE_0:4:778492402 | 92.81.145.245 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:09:55 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:10:15 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:10:30 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:10:56 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:11:58 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:12:16 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:12:39 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:13:14 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:13:29 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:15:26 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:15:49 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:15:55 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:16:16 |deathrun_blabla_hard| *ROM-Protect : L-am detectat pe "Foo" [ VALVE_0:4:2031176187 | 79.113.126.91 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:40:40 |deathrun_coolf2| *ROM-Protect : L-am detectat pe "s3eK'n" [ VALVE_0:4:964775287 | 86.120.94.218 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:40:40 |deathrun_coolf2| *ROM-Protect : L-am detectat pe "s3eK'n" [ VALVE_0:4:964775287 | 86.120.94.218 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
