*Aici este salvata activitatea suspecta a fiecarui jucator.


L  12:02:11 |deathrun_standup2| *ROM-Protect : L-am detectat pe "NIKU" [ VALVE_0:4:1052962910 | 5.2.217.212 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:39:55 |deathrun_holiday| *ROM-Protect : L-am detectat pe "kNIFE." [ VALVE_0:4:141250032 | 89.121.138.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:53:29 |deathrun_bricks_lux| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:53:31 |deathrun_bricks_lux| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:53:32 |deathrun_bricks_lux| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:53:32 |deathrun_bricks_lux| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:53:40 |deathrun_bricks_lux| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:53:41 |deathrun_bricks_lux| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:53:42 |deathrun_bricks_lux| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:18:13 |deathrun_midr_csbr| *ROM-Protect : L-am detectat pe "addons/amxmodx/dlugins" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  00:10:55 |deathrun_temple| *ROM-Protect : L-am detectat pe "sNk." [ VALVE_0:4:623654472 | 41.142.4.227 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
