*Aici este salvata activitatea suspecta a fiecarui jucator.


L  10:15:18 |deathrun_winterfg_lux| *ROM-Protect : L-am detectat pe "ganjaman" [ VALVE_0:4:785729654 | 85.114.246.244 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:08:10 |deathrun_purplez| *ROM-Protect : L-am detectat pe "kNIFE." [ VALVE_0:4:141250032 | 89.121.138.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:17:44 |deathrun_purplez| *ROM-Protect : L-am detectat pe "kNIFE. SEries" [ VALVE_0:4:141250032 | 89.121.138.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:08:14 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:10:26 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:10:30 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:10:33 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:17:33 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:20:33 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:21:17 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:21:27 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:42:49 |deathrun_raykium_xf| *ROM-Protect : L-am detectat pe "kNIFE. SEries" [ VALVE_0:4:141250032 | 89.121.138.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:52:44 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "kNIFE. SEries" [ VALVE_0:4:141250032 | 89.121.138.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:56:01 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "kNIFE. SEries" [ VALVE_0:4:141250032 | 89.121.138.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:59:52 |deathrun_coolf2| *ROM-Protect : L-am detectat pe "irakli gamer" [ VALVE_0:4:1113546618 | 77.92.226.45 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:14:19 |deathrun_coolf2| *ROM-Protect : L-am detectat pe "Melkrom" [ VALVE_0:4:287850875 | 78.96.12.139 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:17:13 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Stefan_YT" [ VALVE_0:4:443914357 | 82.210.183.157 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:17:13 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Stefan_YT" [ VALVE_0:4:443914357 | 82.210.183.157 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:25:26 |deathrun_temple2| *ROM-Protect : L-am detectat pe "SxR" [ VALVE_0:4:59132667 | 79.119.80.174 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:34:01 |deathrun_pizdabol2| *ROM-Protect : L-am detectat pe "SxR" [ VALVE_0:4:59132667 | 79.119.80.174 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:34:04 |deathrun_pizdabol2| *ROM-Protect : L-am detectat pe "SxR" [ VALVE_0:4:59132667 | 79.119.80.174 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:34:04 |deathrun_pizdabol2| *ROM-Protect : L-am detectat pe "SxR" [ VALVE_0:4:59132667 | 79.119.80.174 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
