*Aici este salvata activitatea suspecta a fiecarui jucator.


L  14:51:55 |deathrun_hell1337_final| *ROM-Protect : L-am detectat pe "ExTreM~~MarKoNNN#" [ VALVE_0:4:639680712 | 41.99.29.229 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:42:15 |deathrun_mc_nwk| *ROM-Protect : L-am detectat pe "SWAGGIE. XD" [ VALVE_0:4:862961770 | 109.98.131.207 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:36:48 |deathrun_qu_4_clarion| *ROM-Protect : L-am detectat pe "bK.ahotnic" [ VALVE_0:4:1316801275 | 79.119.165.53 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
L  21:59:29 |deathrun_projetocs4| *ROM-Protect : L-am detectat pe "DarkestHour # KlaNdEsTiN" [ VALVE_0:4:1803311346 | 92.83.164.127 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:59:30 |deathrun_projetocs4| *ROM-Protect : L-am detectat pe "DarkestHour # KlaNdEsTiN" [ VALVE_0:4:1803311346 | 92.83.164.127 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:05:03 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:05:04 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:05:04 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:05:06 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:05:10 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:05:11 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:08:43 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:08:44 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:09:06 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:10:21 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:10:21 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:10:30 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:10:31 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:11:16 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:11:19 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:13:56 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:13:57 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:15:11 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:15:14 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:15:45 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:15:49 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:16:43 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:16:46 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:17:12 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:17:21 |deathrun_laikiux_rawr| *ROM-Protect : L-am detectat pe "nebunnu." [ VALVE_0:4:2014828786 | 92.83.115.89 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
