L 12/30/2016 - 00:35:07: Log file started (file "cstrike/addons/amxmodx/logs/TNI_30.12.2016.log") (game "cstrike") (amx "1.8.3-dev+5072")
L 12/30/2016 - 00:35:07: [TNI Systems] CFG FLOOD: Lex *Ruthless ( 31.5.28.12 ) a incercat sa dea crash serverului.
L 12/30/2016 - 00:43:11: [TNI Systems] CHATBUG: [ Name: AlexBgS | IP: ( 109.96.24.230 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 00:50:10: [TNI Systems] CHATBUG: [ Name: dNk|RyuuKo | IP: ( 95.76.19.58 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 01:38:40: [TNI Systems] CHATBUG: [ Name: CostiZEW | IP: ( 109.98.160.117 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 01:38:50: [TNI Systems] CHATBUG: [ Name: CostiZEW | IP: ( 109.98.160.117 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 01:38:57: [TNI Systems] CHATBUG: [ Name: CostiZEW | IP: ( 109.98.160.117 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 01:39:00: [TNI Systems] CHATBUG: [ Name: CostiZEW | IP: ( 109.98.160.117 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 12:41:18: [TNI Systems] CHATBUG: [ Name: D3LuX | IP: ( 188.173.223.206 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 12:41:28: [TNI Systems] CHATBUG: [ Name: D3LuX | IP: ( 188.173.223.206 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 12:41:36: [TNI Systems] CHATBUG: [ Name: D3LuX | IP: ( 188.173.223.206 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 12:57:29: [TNI Systems] CFG FLOOD: D3LuX ( 188.173.223.206 ) a incercat sa dea crash serverului.
L 12/30/2016 - 13:34:41: [TNI Systems] CHATBUG: [ Name: Floy | IP: ( 84.232.173.17 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
